scenario,attachment_size_kb,repeat,turn_index,session_id,enriched_transcript_chars,attachments_total_chars,messages_in_window,anchors_count,summary_chars,tokens_in,tokens_out,cost_usd,latency_ms,wall_clock_ms,cache_hit_kind,last_resolved_tier,latency_budget_passed,cost_budget_passed,memory_drift_passed,tracked_facts,error
growing,20,2,4,ef9ed0a4-9971-4e0e-b76c-9ee7d61cb10d,20834,20726,8,0,0,17701,319,0.002847,5424,10210,none,default,True,True,True,Nimbus | RFQ workflow | Okta,
growing,20,2,5,ef9ed0a4-9971-4e0e-b76c-9ee7d61cb10d,20834,20726,10,0,0,21709,338,0.003459,12915,15618,none,default,False,True,True,Nimbus | RFQ workflow | Okta | 60000,
growing,20,2,6,ef9ed0a4-9971-4e0e-b76c-9ee7d61cb10d,20848,20726,12,0,0,25737,348,0.004069,18402,22656,none,default,False,True,True,Nimbus | RFQ workflow | Okta | 60000 | audit log,
growing,20,2,7,ef9ed0a4-9971-4e0e-b76c-9ee7d61cb10d,20847,20726,12,0,740,29769,358,0.00468,4489,9311,none,default,True,True,False,Nimbus | RFQ workflow | Okta | 60000 | audit log | CSV import,
growing,20,3,1,cf9df8e5-4c4a-4bff-ba7f-cf1cdd2c2168,20854,20726,2,0,0,5703,258,0.00101,3463,5408,none,default,True,True,,,
growing,20,3,2,cf9df8e5-4c4a-4bff-ba7f-cf1cdd2c2168,20844,20726,4,0,0,9738,281,0.001629,4346,9458,none,default,True,True,True,Nimbus,
growing,20,3,3,cf9df8e5-4c4a-4bff-ba7f-cf1cdd2c2168,20835,20726,6,0,0,13705,289,0.002229,13918,17986,none,default,False,True,True,Nimbus | RFQ workflow,
growing,20,3,4,cf9df8e5-4c4a-4bff-ba7f-cf1cdd2c2168,20834,20726,8,0,0,17683,130,0.00273,3234,5765,none,default,True,True,True,Nimbus | RFQ workflow | Okta,
growing,20,3,5,cf9df8e5-4c4a-4bff-ba7f-cf1cdd2c2168,20834,20726,10,0,0,21483,133,0.003302,2133,5125,none,default,True,True,True,Nimbus | RFQ workflow | Okta | 60000,
growing,20,3,6,cf9df8e5-4c4a-4bff-ba7f-cf1cdd2c2168,20848,20726,12,0,0,25292,125,0.003869,2182,6452,none,default,True,True,True,Nimbus | RFQ workflow | Okta | 60000 | audit log,
growing,20,3,7,cf9df8e5-4c4a-4bff-ba7f-cf1cdd2c2168,20847,20726,12,0,800,29109,120,0.004438,2635,9425,none,default,True,True,False,Nimbus | RFQ workflow | Okta | 60000 | audit log | CSV import,
growing,50,1,1,aeb535b2-33a3-4682-b5f0-3e1614cf3469,51476,51348,2,0,0,11033,311,0.001842,8815,14013,none,default,False,True,,,
growing,50,1,2,aeb535b2-33a3-4682-b5f0-3e1614cf3469,51466,51348,4,0,0,20450,312,0.003255,4378,6654,none,default,True,True,True,Nimbus,
growing,50,1,3,aeb535b2-33a3-4682-b5f0-3e1614cf3469,51457,51348,6,0,0,29779,312,0.004654,3998,6204,none,default,True,True,True,Nimbus | RFQ workflow,
growing,50,1,4,aeb535b2-33a3-4682-b5f0-3e1614cf3469,51456,51348,8,0,0,39100,297,0.006043,5541,8930,none,default,True,True,True,Nimbus | RFQ workflow | Okta,
growing,50,1,5,aeb535b2-33a3-4682-b5f0-3e1614cf3469,51456,51348,10,0,0,48397,283,0.007429,4051,6407,none,default,True,True,True,Nimbus | RFQ workflow | Okta | 60000,
growing,50,1,6,aeb535b2-33a3-4682-b5f0-3e1614cf3469,51470,51348,12,0,0,57686,293,0.008829,4560,7802,none,default,True,True,True,Nimbus | RFQ workflow | Okta | 60000 | audit log,
growing,50,1,7,aeb535b2-33a3-4682-b5f0-3e1614cf3469,51469,51348,12,0,755,67009,335,0.010252,16188,21798,none,default,False,True,False,Nimbus | RFQ workflow | Okta | 60000 | audit log | CSV import,
growing,50,2,1,9252ec31-a660-491b-939b-155e61fd50c2,51476,51348,2,0,0,11033,307,0.001839,4588,6571,none,default,True,True,,,
growing,50,2,2,9252ec31-a660-491b-939b-155e61fd50c2,51466,51348,4,0,0,20453,345,0.003275,8750,11133,none,default,False,True,True,Nimbus,
growing,50,2,3,9252ec31-a660-491b-939b-155e61fd50c2,51457,51348,6,0,0,29820,329,0.00467,4676,7472,none,default,True,True,True,Nimbus | RFQ workflow,
growing,50,2,4,9252ec31-a660-491b-939b-155e61fd50c2,51456,51348,8,0,0,39158,343,0.006079,13589,16568,none,default,False,True,True,Nimbus | RFQ workflow | Okta,
growing,50,2,5,9252ec31-a660-491b-939b-155e61fd50c2,51456,51348,10,0,0,48501,306,0.007459,8911,12270,none,default,False,True,True,Nimbus | RFQ workflow | Okta | 60000,
growing,50,2,6,9252ec31-a660-491b-939b-155e61fd50c2,51470,51348,12,0,0,57828,311,0.008861,19974,23400,none,default,False,True,True,Nimbus | RFQ workflow | Okta | 60000 | audit log,
growing,50,2,7,9252ec31-a660-491b-939b-155e61fd50c2,51469,51348,12,0,956,67165,313,0.010263,32785,38794,none,default,False,True,False,Nimbus | RFQ workflow | Okta | 60000 | audit log | CSV import,
